"congress","year","icpsr","statecode","district","state","party","occupancy","means","name","pres_matches","pres_votes","pres_there_for","score"
84,1955,2326,49,0,"TEXAS",100,0,1,"DANIEL",33,52,51,63.5
84,1955,2609,21,0,"ILLINOIS",200,0,1,"DIRKSEN",44,52,50,84.6
84,1955,2691,21,0,"ILLINOIS",100,0,1,"DOUGLAS",34,52,51,65.4
84,1955,2745,14,0,"PENNSYLVANIA",200,0,1,"DUFF",45,52,52,86.5
84,1955,2803,63,0,"IDAHO",200,0,1,"DWORSHAK",36,52,51,69.2
84,1955,2822,46,0,"MISSISSIPPI",100,0,1,"EASTLAND",32,52,50,61.5
84,1955,2901,45,0,"LOUISIANA",100,0,1,"ELLENDER",35,52,52,67.3
84,1955,2987,47,0,"NORTH CAROLINA",100,0,1,"ERVIN",34,52,52,65.4
84,1955,3206,6,0,"VERMONT",200,0,1,"FLANDERS",46,52,50,88.5
84,1955,3349,11,0,"DELAWARE",100,0,1,"FREAR",32,52,50,61.5
84,1955,3388,42,0,"ARKANSAS",100,0,1,"FULBRIGHT",33,52,51,63.5
84,1955,3536,44,0,"GEORGIA",100,0,1,"GEORGE",40,52,48,76.9
84,1955,3658,61,0,"ARIZONA",200,0,1,"GOLDWATER",37,52,50,71.2
84,1955,3704,54,0,"TENNESSEE",100,0,1,"GORE",24,52,43,46.2
84,1955,3783,5,0,"RHODE ISLAND",100,0,1,"GREEN",36,52,50,69.2
84,1955,4227,61,0,"ARIZONA",100,0,1,"HAYDEN",39,52,51,75
84,1955,4328,34,0,"MISSOURI",100,0,1,"HENNINGS",38,52,51,73.1
84,1955,4382,31,0,"IOWA",200,0,1,"HICKENLOOPE",39,52,42,75
84,1955,4418,41,0,"ALABAMA",100,0,1,"HILL",35,52,51,67.3
84,1955,4520,43,0,"FLORIDA",100,0,1,"HOLLAND",44,52,52,84.6
84,1955,4660,35,0,"NEBRASKA",200,0,1,"HRUSKA",38,52,52,73.1
84,1955,4728,33,0,"MINNESOTA",100,0,1,"HUMPHREY",33,52,50,63.5
84,1955,4737,51,0,"KENTUCKY",100,2,5,"HUMPHREYS",0,52,0,NA
84,1955,4834,13,0,"NEW YORK",200,0,1,"IVES",43,52,52,82.7
84,1955,4851,73,0,"WASHINGTON",100,0,1,"JACKSON",38,52,52,73.1
84,1955,4922,22,0,"INDIANA",200,0,1,"JENNER",25,52,40,48.1
84,1955,4979,49,0,"TEXAS",100,0,1,"JOHNSON  L.",38,52,49,73.1
84,1955,5009,48,0,"SOUTH CAROLINA",100,0,1,"JOHNSTON",25,52,52,48.1
84,1955,5122,54,0,"TENNESSEE",100,0,1,"KEFAUVER",35,52,52,67.3
84,1955,5180,3,0,"MASSACHUSETTS",100,0,1,"KENNEDY",30,52,43,57.7
84,1955,5213,53,0,"OKLAHOMA",100,0,1,"KERR",33,52,52,63.5
84,1955,5240,56,0,"WEST VIRGINIA",100,1,1,"KILGORE",35,52,51,67.3
84,1955,5343,71,0,"CALIFORNIA",200,0,1,"KNOWLAND",48,52,52,92.3
84,1955,5372,71,0,"CALIFORNIA",200,0,1,"KUCHEL",46,52,52,88.5
84,1955,5411,56,0,"WEST VIRGINIA",100,2,5,"LAIRD",0,52,0,NA
84,1955,5452,36,0,"NORTH DAKOTA",200,0,1,"LANGER",14,52,46,26.9
84,1955,5591,13,0,"NEW YORK",100,0,1,"LEHMAN",34,52,52,65.4
84,1955,5767,45,0,"LOUISIANA",100,0,1,"LONG",31,52,52,59.6
84,1955,5913,73,0,"WASHINGTON",100,0,1,"MAGNUSON",36,52,52,69.2
84,1955,5944,65,0,"NEVADA",200,0,1,"MALONE",28,52,44,53.8
84,1955,5967,64,0,"MONTANA",100,0,1,"MANSFIELD",35,52,52,67.3
84,1955,6021,14,0,"PENNSYLVANIA",200,0,1,"MARTIN  E.",47,52,50,90.4
84,1955,6039,31,0,"IOWA",200,0,1,"MARTIN  T.",49,52,52,94.2
84,1955,6137,25,0,"WISCONSIN",200,0,1,"MCCARTHY",35,52,47,67.3
84,1955,6151,42,0,"ARKANSAS",100,0,1,"MCCLELLAN",32,52,47,61.5
84,1955,6366,23,0,"MICHIGAN",100,0,1,"MCNAMARA",34,52,52,65.4
84,1955,6525,62,0,"COLORADO",200,0,1,"MILLIKIN",49,52,51,94.2
84,1955,6597,53,0,"OKLAHOMA",100,0,1,"MONRONEY",38,52,52,73.1
